name,price,id
Carina n°1 Earrings,2170.0,
Bianca n°3 Necklace,1890.0,
430 n°1 Earrings,2360.0,
Aura Necklace,1160.0,
Cordoue 32 n°11 Ring,3010.0,
58J n°10 Earrings,1670.0,
Ivy grey Ring,950.0,
Riv 38 Necklace,2630.0,
Livia Earrings,510.0,
Gitane Ring,255.0,
Aina Necklace,350.0,
Cali Necklace,320.0,
63J n°3 Earrings,3360.0,
Gaia D. Necklace,600.0,
Water 48 n°4 Ring,1780.0,
Fish n°2 Necklace,740.0,
Coin n°7 Necklace,2040.0,
Aka n°3 Necklace,3280.0,
Gina Ring,450.0,
Pam Earrings,620.0,
Nico Earrings,820.0,
Ohan 69 n°2 Ring,2240.0,
Rita Earrings,710.0,
Ann Ring,2780.0,
Grace Necklace,660.0,
Gloria Ring,830.0,
Romy Earrings,1120.0,
Paola 33 Earrings,1970.0,
Goldie Necklace,1940.0,
Gwen pink Ring,260.0,
Bibo Bracelet,860.0,
Erisa Necklace,490.0,
Erisa Necklace,490.0,
Maxy Earrings,490.0,
217S Earrings,1270.0,
Riv 208 Necklace,2920.0,
Flow Necklace,3480.0,
Elia Ring,880.0,880
Alba Necklace,730.0,
Flash Earrings,2960.0,
Matteo Necklace,695.0,
Milk n°1 Ring,2150.0,
Drop Earrings,190.0,
Band Ring,2270.0,
Asan n°7 Necklace,2860.0,
Arya Necklace,260.0,
Dany emer Bracelet,1040.0,
Raja black Ring,220.0,
Jojo Necklace,1310.0,
Cindy BD. Earrings,260.0,
Fiona garnet Necklace,720.0,
Jakie long Earrings,1800.0,
Laine Ring,450.0,
Joey Earrings,540.0,
Multi Necklace,380.0,
Jakie emer Earrings,1170.0,
Talia Bracelet,230.0,
Mimi Necklace,240.0,
Look Earrings,280.0,
Hearty Necklace,1040.0,
Jade Earrings,900.0,
Jenna black Earrings,810.0,
Cindy turquoise Earrings,220.0,
Suny XL Earrings,1390.0,
Elijah GS Ring,310.0,
Khan Small Earrings,860.0,
Liam Earrings,420.0,
Leslie Earrings,900.0,
Blondie Necklace,520.0,
Love Necklace,4130.0,
Artie Necklace,490.0,
Liby diamant Earrings,270.0,
Cross T Earrings,240.0,
Pilli gold Earrings,350.0,
Manu diamant Necklace,240.0,
Doddie Earrings,690.0,
Naël diamant Ring,260.0,
Emmy Earrings,880.0,880
Félix Necklace,620.0,
Marilou black Ring,510.0,
Arno large black Necklace,495.0,
Mae turquoise Bracelet,1090.0,
Janie L Necklace,630.0,
Liby turquoise Earrings,260.0,
Lake T. Earrings,810.0,
Wild black Ring,240.0,
Mini pho eye Necklace,200.0,
Hochu Ring,620.0,
Jef gold Necklace,260.0,
Sun Earrings,270.0,
Timm diamant Earring,580.0,
Timm rubis Earring,550.0,
Pilli black Earrings,350.0,
Tom Necklace,630.0,
Naël turquoise Ring,260.0,
Mae D Bracelet,1300.0,
Lake D. Earrings,880.0,880
Mini love Necklace,2000.0,
Finn garnet Earrings,1110.0,
Marilou gold Ring,510.0,
Arno small black Necklace,230.0,
Jane L Bracelet,280.0,
Jenna gold Earrings,810.0,
Isa black Earrings,650.0,
Gégé turquoise Bracelet,250.0,
Folk diamant Ring,380.0,
Bobbie Ring,470.0,
Blues Earrings,890.0,
Chance Necklace,720.0,
Cindy diamant Earrings,260.0,
Blondie Ring,500.0,
Bea 3XL Earrings,320.0,
Eki Ring,230.0,
Cross D Earrings,270.0,
Blondie Earrings,700.0,
Arte Earrings,620.0,
Arno large gold Necklace,495.0,
Angela 12 Earrings,570.0,
Aimi Ring,280.0,
Bea 3 Dot Earrings,190.0,
Jef Necklace,260.0,
Folk turquoise Ring,350.0,
Celia blue Earrings,840.0,
Blues Ring,620.0,
Gary Necklace,1200.0,
Mini pho X turquoise Necklace,200.0,
Funk turquoise Bracelet,430.0,
Wild gold Ring,240.0,
Trilo Earrings,380.0,
Siloe Necklace,1110.0,
Elijah BS Ring,310.0,
Moon Necklace,1200.0,
Jane M Bracelet,280.0,
Bali Earrings,310.0,
Manu turquoise Necklace,240.0,
Raja gold Ring,220.0,
Khany  Bracelet,1890.0,
Glen black Ring,390.0,
Finn eme Earrings,1190.0,
Blues Necklace,590.0,
Tiny Diamant  Earrings,260.0,
Aile Ring,990.0,
Arno small gold Necklace,230.0,
Come black Ring,360.0,
Isa white Earrings,650.0,
Doddie Necklace,460.0,
Jagger Necklace,610.0,
Flora sapp. Ring,720.0,
Ellie diam Bracelet,2400.0,
Jakie Ring,1610.0,
Flora morga Necklace,630.0,
Flora sapp. Earrings,1050.0,
Flora sapp. Necklace,700.0,
Tina Earrings,220.0,
Val Ring,690.0,
Flora aqua long Earrings,1780.0,
Ary Earrings,380.0,
Shell Izumi n°4 Necklace,900.0,
Anjo gold Ring,1240.0,
101M Earrings,1490.0,
26F Earrings,1170.0,
Pinky Necklace,680.0,
Gail turquoise Bracelet,590.0,
Hawk turquoise Necklace,540.0,
Hawk jaspe Necklace,540.0,
Gail jaspe Bracelet,590.0,
Cadet Bracelet,550.0,
Ian Necklace,300.0,
Vic Necklace,1690.0,
Jojo Earrings,2090.0,
Roy Earrings,460.0,
Azur n°3 Ring,2660.0,
Simon Necklace,1360.0,
Beta black Ring,440.0,
Beta gold Ring,440.0,
Janice Bracelet,260.0,
Jon Necklace,540.0,
See Ring,300.0,
Cory Ring,680.0,
Jed Ring,220.0,
Judd Necklace,670.0,
Jay XL Ring,790.0,
Angie blue Necklace,2690.0,
Citrony Necklace,500.0,
Double Emer Ring,2520.0,
Three Spinel Earrings,1320.0,
Five Spi Earrings,1780.0,
Philo Ring,400.0,
Leo Ring,1090.0,
Emilio Necklace,270.0,
Malo short Earrings,2190.0,
Malo Necklace,1030.0,
Peter Ring,540.0,
Rem Ring,250.0,
Enzo Earrings,490.0,
Scott Pink Earring,1050.0,
Scotty  White Necklace,1300.0,
Mallory Necklace,1730.0,
Suzan L Necklace,390.0,
Wilma Earrings,405.0,
Julian tourm Necklace,1770.0,
Kaoru Necklace,530.0,
Aqua Ring,2270.0,
Ruby Ring,2280.0,
Scott Blue Earring,1010.0,
Wyll Earrings,630.0,
Aretha Necklace,4280.0,
Hobi Earrings,995.0,
Malo Ring,1780.0,
Victoria XL Ring,1930.0,
Byron Bracelet,3590.0,
Otis Earrings,425.0,
Dye black Earrings,190.0,
Kad Earrings,960.0,
Tony Necklace,1840.0,
Angie white Necklace,2740.0,
Jakie diamant  Earrings,1300.0,
Mia Earring,650.0,
Malo long Earrings,3150.0,
Scott White Earring,1240.0,
