cohort_start,Month,NRR_pct
2022-06-01,2024-12-01,6.908886862593813
2022-07-01,2022-07-01,100.0
2022-07-01,2022-09-01,9.82886216466235
2022-07-01,2024-12-01,2.717391304347826
2022-08-01,2022-08-01,100.0
2022-08-01,2022-10-01,2.073365231259968
2022-08-01,2022-11-01,20.454545454545457
2022-08-01,2022-12-01,10.36682615629984
2022-08-01,2023-02-01,5.6618819776714515
2022-08-01,2023-03-01,2.472089314194577
2022-08-01,2023-04-01,3.0303030303030303
2022-08-01,2023-07-01,3.0303030303030303
2022-08-01,2023-08-01,1.6108452950558214
2022-08-01,2024-10-01,3.0303030303030303
2022-08-01,2024-11-01,5.382775119617225
2022-09-01,2022-09-01,100.0
2022-09-01,2022-12-01,0.8647234993883663
2022-09-01,2023-12-01,2.467625595815582
2022-10-01,2022-10-01,100.0
2022-10-01,2022-11-01,3.9189189189189193
2022-10-01,2023-01-01,2.5675675675675675
2022-10-01,2023-09-01,2.4324324324324325
2022-11-01,2022-11-01,100.0
2022-11-01,2024-09-01,5.500381970970206
2022-12-01,2022-12-01,100.0
2022-12-01,2023-02-01,9.343978521213835
2022-12-01,2023-03-01,3.5680220440173804
2022-12-01,2024-10-01,4.133253258911224
2023-01-01,2023-01-01,100.0
2023-01-01,2023-02-01,3.8399603616994926
2023-01-01,2023-04-01,2.559973574466328
2023-01-01,2023-11-01,6.540319583797845
2023-01-01,2023-12-01,1.1561170981460838
2023-01-01,2024-09-01,2.229654403567447
2023-02-01,2023-02-01,100.0
2023-02-01,2023-12-01,1.99288256227758
2023-03-01,2023-03-01,100.0
2023-03-01,2023-04-01,7.24929520741039
2023-04-01,2023-04-01,100.0
2023-04-01,2024-03-01,1.9665271966527196
2023-05-01,2023-05-01,100.0
2023-05-01,2023-06-01,10.41743627632065
2023-05-01,2023-07-01,5.319541928333949
2023-05-01,2023-09-01,4.654599187292206
2023-05-01,2023-10-01,6.9449575175471
2023-05-01,2023-11-01,1.9209456963428149
2023-05-01,2023-12-01,16.549685999261175
2023-05-01,2024-01-01,4.285186553380125
2023-05-01,2024-04-01,12.707794606575545
2023-06-01,2023-06-01,100.0
2023-06-01,2023-07-01,1.5044767356524291
2023-06-01,2024-05-01,1.5044767356524291
2023-07-01,2023-07-01,100.0
2023-07-01,2023-08-01,3.1856796116504853
2023-07-01,2023-09-01,2.696871628910464
2023-07-01,2023-12-01,3.4722222222222223
2023-07-01,2024-04-01,1.6518338727076591
2023-07-01,2024-05-01,1.2135922330097086
2023-07-01,2024-07-01,0.9439050701186623
2023-07-01,2024-12-01,1.4495685005393744
2023-08-01,2023-08-01,100.0
2023-09-01,2023-09-01,100.0
2023-09-01,2024-12-01,1.912502988285919
2023-10-01,2023-10-01,100.0
2023-10-01,2023-11-01,9.738339021615472
2023-10-01,2023-12-01,10.05688282138794
2023-10-01,2024-02-01,5.1422070534698525
2023-10-01,2024-07-01,6.325369738339022
2023-10-01,2024-09-01,7.2582480091012505
2023-10-01,2024-10-01,2.502844141069397
2023-11-01,2023-11-01,100.0
2023-11-01,2023-12-01,2.233502538071066
2023-11-01,2024-03-01,4.568527918781726
2023-12-01,2023-12-01,100.0
2023-12-01,2024-01-01,0.7386228258279723
2023-12-01,2024-04-01,0.48844412675720755
2023-12-01,2024-12-01,1.1198475101262806
2024-01-01,2024-01-01,100.0
2024-01-01,2024-04-01,3.9206900414472945
2024-01-01,2024-08-01,3.4726111795676036
2024-01-01,2024-10-01,11.986109555281729
2024-02-01,2024-02-01,100.0
2024-03-01,2024-03-01,100.0
2024-03-01,2024-04-01,1.8951612903225805
2024-03-01,2024-11-01,3.467741935483871
2024-04-01,2024-04-01,100.0
2024-04-01,2024-05-01,8.853118712273641
2024-05-01,2024-05-01,100.0
2024-06-01,2024-06-01,100.0
2024-06-01,2024-10-01,2.984687256683104
2024-07-01,2024-07-01,100.0
2024-08-01,2024-08-01,100.0
2024-08-01,2024-12-01,10.68062827225131
2024-09-01,2024-09-01,100.0
2024-10-01,2024-10-01,100.0
2024-11-01,2024-11-01,100.0
2024-12-01,2024-12-01,100.0
