id,name,price
1337,Gwen blue Ring,260.0
1335,Lana Necklace,260.0
1331,Adele Ring,1650.0
1329,Era Earrings,580.0
1319,Mayou T. Necklace,420.0
1301,Bob 26 n°6 Ring,2870.0
1300,Nao T. Necklace,680.0
1295,Alby Earrings,2640.0
1292,Bob 26 n°3 Ring,2750.0
1290,Riv 74 Necklace,2240.0
1286,Mattia Necklace,1260.0
1285,Mauro Ring,1820.0
1280,57J n°1 Earrings,1970.0
1278,Gaia T. Necklace,490.0
1277,Shake Necklace,220.0
1275,Cooper Bracelet,2390.0
1272,Shell Kami Necklace,650.0
1270,Dina n°12 Earrings,1640.0
1268,180 n°2 Earrings,3440.0
1267,Camée 60 n°1 Necklace,1500.0
1265,Vita n°2 Ring,2270.0
1264,17GM n°5 Earrings,3190.0
1263,Camée L n°1 Necklace,1780.0
1261,Carina n°1 Earrings,2170.0
1260,Bianca n°3 Necklace,1890.0
1258,430 n°1 Earrings,2360.0
1252,Aura Necklace,1160.0
1251,Cordoue 32 n°11 Ring,3010.0
1248,58J n°10 Earrings,1670.0
1244,Ivy grey Ring,950.0
1236,Riv 38 Necklace,2630.0
1234,Livia Earrings,510.0
1233,Gitane Ring,255.0
1232,Aina Necklace,350.0
1228,Cali Necklace,320.0
1227,63J n°3 Earrings,3360.0
1226,Gaia D. Necklace,600.0
1219,Water 48 n°4 Ring,1780.0
1218,Fish n°2 Necklace,740.0
1215,Coin n°7 Necklace,2040.0
1211,Aka n°3 Necklace,3280.0
1207,Gina Ring,450.0
1206,Pam Earrings,620.0
1204,Nico Earrings,820.0
1203,Ohan 69 n°2 Ring,2240.0
1201,Rita Earrings,710.0
1200,Ann Ring,2780.0
1199,Grace Necklace,660.0
1198,Gloria Ring,830.0
1191,Romy Earrings,1120.0
1180,Paola 33 Earrings,1970.0
1175,Goldie Necklace,1940.0
1174,Gwen pink Ring,260.0
1173,Bibo Bracelet,860.0
1168,Erisa Necklace,490.0
1167,Erisa Necklace,490.0
1162,Maxy Earrings,490.0
1160,217S Earrings,1270.0
1159,Riv 208 Necklace,2920.0
1157,Flow Necklace,3480.0
1155,Elia Ring,880.0
1154,Alba Necklace,730.0
1153,Flash Earrings,2960.0
1149,Matteo Necklace,695.0
1133,Milk n°1 Ring,2150.0
1132,Drop Earrings,190.0
1131,Band Ring,2270.0
1127,Asan n°7 Necklace,2860.0
1123,Arya Necklace,260.0
1113,Dany emer Bracelet,1040.0
1108,Raja black Ring,220.0
1107,Jojo Necklace,1310.0
1087,Cindy BD. Earrings,260.0
1075,Fiona garnet Necklace,720.0
1073,Jakie long Earrings,1800.0
1071,Laine Ring,450.0
1070,Joey Earrings,540.0
1065,Multi Necklace,380.0
