date,pv_ttc
2022-05-28,590.0
2022-05-30,850.0
2022-05-31,470.0
2022-06-01,1280.0
2022-06-02,1195.8400000000001
2022-06-03,575.0
2022-06-04,710.0
2022-06-05,1430.0
2022-06-08,860.0
2022-06-10,1090.0
2022-06-12,266.67
2022-06-13,0.0
2022-06-14,475.0
2022-06-15,810.0
2022-06-17,210.0
2022-06-18,450.0
2022-06-19,0.0
2022-06-21,240.0
2022-06-24,2030.0
2022-06-25,930.0
2022-06-26,153.0
2022-06-27,228.05
2022-06-28,2890.0
2022-06-30,930.0
2022-07-01,607.0
2022-07-04,2290.0
2022-07-05,540.0
2022-07-10,-1390.0
2022-07-12,460.0
2022-07-13,810.0
2022-07-18,915.0
2022-07-21,610.0
2022-07-25,-110.0
2022-07-26,760.0
2022-07-27,230.0
2022-07-28,678.33
2022-08-02,1380.0
2022-08-03,322.77
2022-08-05,310.0
2022-08-07,429.98
2022-08-08,1090.42
2022-08-10,1620.0
2022-08-18,842.4200000000001
2022-08-19,550.0
2022-08-20,579.68
2022-08-25,3630.0
2022-08-27,440.0
2022-08-29,770.0
2022-08-30,299.79
2022-08-31,405.0
2022-09-03,240.0
2022-09-04,1300.0
2022-09-05,-1480.0
2022-09-06,2160.0
2022-09-07,510.0
2022-09-08,515.93
2022-09-11,1048.3899999999999
2022-09-12,2824.44
2022-09-13,260.0
2022-09-14,3167.01
2022-09-15,8416.119999999999
2022-09-16,720.0
2022-09-17,1560.0
2022-09-20,3955.0
2022-09-22,1467.4
2022-09-23,380.0
2022-09-25,1910.0
2022-09-27,230.0
2022-09-28,1110.0
2022-09-29,530.0
2022-09-30,-440.0
2022-10-01,2220.0
2022-10-02,880.0
2022-10-03,25.0
2022-10-04,-220.0
2022-10-07,3740.0
2022-10-08,680.0
2022-10-10,180.0
2022-10-12,-260.0
2022-10-13,720.0
2022-10-14,-220.0
2022-10-17,4364.85
2022-10-19,680.0
2022-10-20,900.0
2022-10-25,3900.0
2022-10-27,260.0
2022-10-29,260.0
2022-10-31,590.0
2022-11-01,180.0
2022-11-03,720.0
2022-11-04,2983.21
2022-11-05,2390.0
2022-11-06,300.0
2022-11-08,360.0
2022-11-09,1780.0
2022-11-10,-1320.0
2022-11-12,490.0
2022-11-13,580.0
2022-11-16,3805.0
2022-11-18,2825.0
2022-11-20,900.0
2022-11-21,0.0
2022-11-22,2110.0
2022-11-25,550.0
2022-11-27,180.0
2022-11-28,1195.0
2022-11-29,350.0
2022-12-01,370.0
2022-12-02,1970.0
2022-12-03,720.0
2022-12-04,1830.0
2022-12-05,670.0
2022-12-06,752.46
2022-12-07,780.0
2022-12-08,630.0
2022-12-10,1200.0
2022-12-12,1950.0
2022-12-13,680.0
2022-12-14,1870.0
2022-12-15,700.0
2022-12-16,1250.0
2022-12-17,2400.0
2022-12-18,1655.0
2022-12-19,2050.0
2022-12-20,215.0
2022-12-21,1360.0
2022-12-22,1240.0
2022-12-25,590.39
2022-12-26,1443.63
2022-12-29,1300.0
2022-12-30,1500.0
2023-01-02,480.0
2023-01-03,240.0
2023-01-04,2095.0
2023-01-05,850.0
2023-01-06,1670.0
2023-01-08,2175.0
2023-01-09,640.0
2023-01-10,2490.0
2023-01-13,2040.0
2023-01-15,1970.0
2023-01-16,2285.0
2023-01-17,2847.0
2023-01-18,190.0
2023-01-19,2380.0
2023-01-20,1740.0
2023-01-23,260.0
2023-01-25,279.76
2023-01-26,1110.0
2023-01-27,230.0
2023-01-28,475.0
2023-01-29,680.0
2023-01-30,880.0
2023-01-31,980.0
2023-02-01,1131.75
2023-02-02,495.0
2023-02-03,390.0
2023-02-04,2986.6800000000003
2023-02-05,720.0
2023-02-06,1170.0
2023-02-07,1190.0
2023-02-08,1210.0
2023-02-09,995.0
2023-02-11,240.0
2023-02-13,-360.0
2023-02-14,1170.0
2023-02-15,2533.63
2023-02-20,2995.85
2023-02-22,240.0
2023-02-23,880.0
2023-02-25,425.0
2023-02-26,360.0
2023-02-27,1100.0
2023-02-28,420.0
2023-03-01,325.0
2023-03-02,270.0
2023-03-03,188.16000000000003
2023-03-04,1380.0
2023-03-06,300.0
2023-03-07,700.0
2023-03-09,450.0
2023-03-12,482.23
2023-03-14,1710.0
2023-03-17,490.0
2023-03-18,315.0
2023-03-19,1180.0
2023-03-20,1610.0
2023-03-24,-20.0
2023-03-25,1260.0
2023-03-29,1120.0
2023-03-30,230.0
2023-03-31,1380.0
2023-04-01,280.0
2023-04-02,460.0
2023-04-04,250.0
2023-04-05,620.0
2023-04-07,620.0
2023-04-08,380.0
2023-04-11,-240.0
2023-04-16,3819.05
2023-04-18,600.0
2023-04-19,1390.0
2023-04-23,450.0
2023-04-24,500.0
2023-04-25,830.0
2023-04-26,250.0
2023-04-27,980.0
2023-04-28,-720.0
2023-04-30,720.0
2023-05-01,510.0
2023-05-02,2712.29
2023-05-03,1960.0
2023-05-04,580.0
2023-05-05,2120.0
2023-05-07,840.0
2023-05-09,810.0
2023-05-10,1820.0
2023-05-12,380.0
2023-05-13,260.0
2023-05-15,1475.0
2023-05-16,1610.0
2023-05-18,750.0
2023-05-19,500.0
2023-05-21,260.0
2023-05-22,270.0
2023-05-23,310.0
2023-05-25,480.0
2023-05-27,350.0
2023-05-28,240.0
2023-05-29,490.0
2023-05-30,3300.0
2023-05-31,1240.0
2023-06-01,995.0
2023-06-05,957.18
2023-06-06,2440.0
2023-06-07,-995.0
2023-06-08,240.0
2023-06-09,220.0
2023-06-10,1700.0
2023-06-12,1502.17
2023-06-13,550.0
2023-06-14,6450.0
2023-06-15,-908.31
2023-06-16,200.0
2023-06-17,495.0
2023-06-18,3010.0
2023-06-21,2260.0
2023-06-22,840.0
2023-06-25,230.0
2023-06-26,2660.0
2023-06-27,-1610.0
2023-06-28,680.0
2023-06-29,2100.0
2023-06-30,1430.0
2023-07-01,270.0
2023-07-03,4028.21
2023-07-04,490.0
2023-07-05,1261.67
2023-07-06,2330.0
2023-07-07,7930.9
2023-07-08,660.14
2023-07-10,0.0
2023-07-11,790.0
2023-07-13,1210.0
2023-07-14,1900.0
2023-07-16,280.0
2023-07-17,220.0
2023-07-19,4055.73
2023-07-20,985.0
2023-07-21,590.0
2023-07-22,270.0
2023-07-24,220.0
2023-07-25,800.0
2023-07-26,1240.0
2023-07-27,-6250.900000000001
2023-07-28,1038.33
2023-08-06,280.0
2023-08-10,146.0
2023-08-12,390.0
2023-08-21,380.0
2023-08-23,1350.0
2023-08-27,3016.72
2023-08-28,380.0
2023-08-29,600.0
2023-08-30,660.0
2023-08-31,2995.0
2023-09-01,1410.0
2023-09-02,800.0
2023-09-04,730.0
2023-09-06,190.0
2023-09-07,1140.0
2023-09-08,450.0
2023-09-10,490.0
2023-09-11,650.0
2023-09-12,460.0
2023-09-15,680.0
2023-09-16,110.0
2023-09-18,610.0
2023-09-20,490.0
2023-09-21,680.0
2023-09-22,1660.0
2023-09-24,880.0
2023-09-25,260.0
