id,SFA,lib,EAN,qty,Factory Price,Group Price,RETAIL,RETAIL_US
8176,"Boucles d'oreilles","ROMY Or 14k - Diamant ",3666023077299,2,"138,10",415,1120,1620
8177,Bague,"GLORIA Or 14k - Diamant 51",3666023077305,1,"142,72",308,830,1200
8178,Bague,"GLORIA Or 14k - Diamant 53",3666023077312,2,"142,72",308,830,1200
8179,Bague,"GLORIA Or 14k - Diamant 55",3666023077329,2,"142,72",308,830,1200
8188,Bracelet,"VERDE Or 14k - Tourmaline ",3666023077404,1,"262,59",683,1840,2660
8200,Collier,"AURA S Or 14k - Diamant ",3666023077527,1,"156,18",429,1160,1670
8201,"Boucles d'oreilles","PAM Or 14k - Diamant ",3666023077534,1,"80,94",229,620,890
8202,"Boucles d'oreilles","ERA Or 14k - Diamant ",3666023077541,1,"71,76",216,580,840
8229,"Boucles d'oreilles","58J N°10 Or 14k ",3666023077817,1,"192,74",617,1670,2410
8234,"Boucles d'oreilles","CARINA N°1  Or 14k ",3666023077862,1,"297,08",803,2170,3130
8244,"Boucles d'oreilles","57J OD N°1 Or 14k ",3666023077961,1,"191,43",728,1970,2840
8254,Collier,"TIMI CIT. Or 14k - citrine ",3666023078067,2,"142,82",325,880,1270
8256,Collier,"GAIA T. Argent doré or ",3666023078081,1,"57,58",182,490,710
8257,Collier,"GAIA D. Argent doré or ",3666023078098,1,"70,17",222,600,870
8258,Collier,"AINA Argent doré or ",3666023078104,1,"42,87",129,350,500
8268,"Boucles d'oreilles","DINA N°12 Or 14k ",3666023078203,1,"193,13",609,1640,2380
8323,Bague,"OHAN 69 N°2 T57 Or 14k ",3666023078753,1,"290,92",830,2240,3240
8327,Bague,"RAYA 70 N°4 T58 Or 14k ",3666023078791,1,"248,99",673,1820,2620
8359,"Boucles d'oreilles","NADJA GOLD Or 14k - Diamant ",3666023079118,1,"329,72",905,2440,3530
8363,Collier,"RIV 131 MORGA Or 14k - Morganite ",3666023079156,1,"244,71",857,2310,3340
8367,Collier,"81 CAMEE L N°1 Or 14k ",3666023079194,1,"243,49",658,1780,2570
8374,Collier,"92 COIN N°5 Or 14k - Diamant ",3666023079262,1,"252,05",757,2040,2950
8429,Bague,"BOB 26 N°3 T54 Argent Oxydé - Or 14k - Diamant ",3666023079798,1,"339,28",1018,2750,3970
8432,Bague,"BOB 26 N°6 T55  Argent Oxydé - Or 14k - Diamant ",3666023079828,1,"353,77",1062,2870,4140
8441,Collier,"VICO N°3 Argent Oxydé - Or 14k - Diamant ",3666023079910,1,"279,04",838,2260,3270
8456,Bague,"CORDOUE 32 N°11 T56 Argent Oxydé - Or 14k - Diamant ",3666023080060,1,"358,91",1113,3010,4340
8474,Bague,"INES 73 N°1 T53 Or 14k - Grandidierite ",3666023080244,1,"261,57",759,2050,2960
8498,Bague,"CAMEO T54 Or 14k ",3666023080480,1,"228,68",607,1640,2370
